,phone,word
280,a k s ɔ n,"['axon', 'axones']"
281,a k s ɔ̃,"['ackson', 'axon', 'axons']"
282,a k s ɛ,"['accès', 'akst']"
283,a k s ɛ d,"['accède', 'accèdent']"
284,a k s ɛ k s i,"['axxis', 'axxie']"
285,a k s ɛ p s j ɔ̃,"['acceptions', 'acception']"
286,a k s ɛ p t,"['accepte', 'acceptent']"
287,a k s ɛ p t a b l,"['acceptables', 'acceptable']"
288,a k s ɛ s i b l,"['accessibles', 'accessible']"
289,a k s ɛ s w a ʁ,"['accessoires', 'accessoire']"
290,a k s ɛ̃,"['aksin', 'achstein']"
291,a k t a,"['aquetá', 'aqueta']"
292,a k t e,"['achter', 'acté']"
293,a k t i f,"['actifs', 'actif']"
294,a k t i v,"['actives', 'active']"
295,a k t i v a t œ ʁ,"['activateur', 'activateurs']"
296,a k t i v e,"['activé', 'activées', 'activer']"
297,a k t i v i s t,"['activiste', 'activistes']"
298,a k t i v i t e,"['activité', 'activités']"
299,a k t œ ʁ,"['acteurs', 'acteur']"
300,a k t ɥ a ʎ i t e,"['actualités', 'actualité']"
301,a k t ʁ i s,"['actrice', 'actrices']"
302,a k u d e,"['accoudé', 'accoudées']"
303,a k u p l e,"['accouplée', 'accouplées']"
304,a k u s t i k,"['acoustiques', 'acoustique']"
305,a k u t y m e,"['accoutumés', 'accoutumée']"
306,a k u ʁ,"['acour', 'accourt']"
307,a k u ʁ y,"['accourus', 'accourut']"
308,a k u ʃ e,"['accouché', 'accouchée', 'accoucher']"
309,a k u ʃ m ɑ̃,"['accouchements', 'accouchement']"
310,a k w a,"['akwa', 'acquat']"
311,a k w a f ɔ ʁ t i s t,"['aquafortistes', 'aquafortiste']"
312,a k w a t i k,"['aquatique', 'aquatiques']"
313,a k w a ʁ j ɔ f i l,"['aquariophile', 'aquariophiles']"
314,a k w a ʁ j ɔ m,"['aquarium', 'aquariums']"
315,a k w a ʁ ɛ l,"['aquarelle', 'aquarelles']"
316,a k w o,"['akosaw', 'aquo']"
317,a k y m y l a s j ɔ̃,"['accumulations', 'accumulation']"
318,a k y m y l e,"['accumulé', 'accumulés', 'accumuler']"
319,a k y n,"['hacune', 'hacun']"
320,a k y z,"['accuse', 'accusent']"
321,a k y z a s j ɔ̃,"['accusations', 'accusation']"
322,a k y ʁ i,"['acurie', 'achury']"
323,a k œ j i ʁ,"['accueillir', 'accueillirent']"
